State,Domain,Reporting Program,Measure Name,Measure Abbreviation,Measure Type,Rate Definition,FFY,Population,Methodology,State Rate,Number of States Reporting,Median,Bottom Quartile,Top Quartile,Notes,Source,State-Specific Comments,Rate Used in Calculating State Mean and Median
Alabama,Behavioral Health Care,Adult Core Set,Concurrent Use of Opioids and Benzodiazepines: Age 18 and older,COB-AD,Lower rates are better for this measure,Percentage with Concurrent Use of Prescription Opioids and Benzodiazepines: Ages 18 to 64,2020,Medicaid,Administrative,20.6,27,16.3,21.6,11.2,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rate includes FFS and PCCM populations. Rate excludes Medicare-Medicaid Dual Eligibles.,Yes
Alabama,Behavioral Health Care,Adult Core Set,Use of Opioids at High Dosage in Persons Without Cancer: Age 18 and Older,OHD-AD,Lower rates are better for this measure,Percentage Without Cancer who Received Prescriptions for Opioids with an Average Daily Dosage Greater than or Equal to 90 Morphine Milligram Equivalents Over 90 Consecutive Days or More: Ages 18 to 64,2020,Medicaid,Administrative,2.1,28,6.5,9.6,3.9,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rate includes FFS and PCCM populations. Rate excludes Medicare-Medicaid Dual Eligibles.,Yes
Alabama,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care: Emergency Department (ED) Visits: Ages 0 to 19,AMB-CH,Lower rates are better for this measure,"Emergency Department Visits per 1,000 Beneficiary Months: Ages 0 to 19",2020,Medicaid only,Administrative,49.7,46,43.2,50.1,37.5,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Medicaid rate includes FFS and PCCM populations. ,Yes
Alabama,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care: Emergency Department (ED) Visits: Ages 0 to 19,AMB-CH,Lower rates are better for this measure,"Emergency Department Visits per 1,000 Beneficiary Months: Ages 0 to 19",2020,CHIP only,Administrative,28.2,46,43.2,50.1,37.5,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",CHIP rate includes separate CHIP population. Rate excludes children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rate.,No
Alabama,Care of Acute and Chronic Conditions,Adult Core Set,PQI 01: Diabetes Short-Term Complications Admission Rate: Age 18 and Older,PQI01-AD,Lower rates are better for this measure,"Inpatient Hospital Admissions for Diabetes Short-Term Complications per 100,000 Beneficiary Months: Ages 18 to 64",2020,Medicaid,Administrative,42.1,36,20.1,26.7,15.4,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rate includes FFS and PCCM populations. Rate excludes Medicare-Medicaid Dual Eligibles.,Yes
Alabama,Care of Acute and Chronic Conditions,Adult Core Set,PQI 05: Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults Admission Rate: Age 40 and Older,PQI05-AD,Lower rates are better for this measure,"Inpatient Hospital Admissions for Chronic Obstructive Pulmonary Disease (COPD) or Asthma per 100,000 Beneficiary Months: Ages 40 to 64",2020,Medicaid,Administrative,212.7,31,56.4,85.2,41.3,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rate includes FFS and PCCM populations. Rate excludes Medicare-Medicaid Dual Eligibles.,Yes
Alabama,Care of Acute and Chronic Conditions,Adult Core Set,PQI 08: Heart Failure Admission Rate: Age 18 and Older,PQI08-AD,Lower rates are better for this measure,"Inpatient Hospital Admissions for Heart Failure per 100,000 Beneficiary Months: Ages 18 to 64",2020,Medicaid,Administrative,80.7,31,24.4,34.5,19.4,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rate includes FFS and PCCM populations. Rate excludes Medicare-Medicaid Dual Eligibles.,Yes
Alabama,Care of Acute and Chronic Conditions,Adult Core Set,PQI 15: Asthma in Younger Adults Admission Rate: Ages 18 to 39,PQI15-AD,Lower rates are better for this measure,"Inpatient Hospital Admissions for Asthma per 100,000 Beneficiary Months: Ages 18 to 39",2020,Medicaid,Administrative,13.9,31,6.5,7.8,3.9,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rate includes FFS and PCCM populations. Rate excludes Medicare-Medicaid Dual Eligibles.,Yes
Alabama,Maternal and Perinatal Health,Child Core Set,"Live Births Weighing Less Than 2,500 Grams",LBW-CH,Lower rates are better for this measure,"Percentage of Live Births that Weighed Less Than 2,500 Grams",2020,Medicaid only,Administrative,12.2,52,9.7,10.8,8.8,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021 as well as the Centers for Disease Control and Prevention Wide-ranging Online Data for Epidemiologic Research (CDC WONDER) data as of November 24, 2020.",CMS calculated Medicaid rate using CDC WONDER data.,Yes
Alabama,Maternal and Perinatal Health,Child Core Set,"Live Births Weighing Less Than 2,500 Grams",LBW-CH,Lower rates are better for this measure,"Percentage of Live Births that Weighed Less Than 2,500 Grams",2020,CHIP only,Administrative,20.9,52,9.7,10.8,8.8,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021 as well as the Centers for Disease Control and Prevention Wide-ranging Online Data for Epidemiologic Research (CDC WONDER) data as of November 24, 2020.",CHIP rate includes separate CHIP population. Rate excludes children enrolled in Medicaid expansion CHIP; these children are included in the state's Medicaid rate. State calculated CHIP rate using CHIP administrative data linked to vital records. ,No
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6 to 17,FUH-CH,Higher rates are better for this measure,Percentage of Hospitalizations for Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 7 Days after Discharge: Ages 6 to 17,2020,Medicaid only,Administrative,37.3,44,45.6,36.1,56.3,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Medicaid rates include FFS and PCCM populations. ,Yes
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6 to 17,FUH-CH,Higher rates are better for this measure,Percentage of Hospitalizations for Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 30 Days after Discharge: Ages 6 to 17,2020,Medicaid only,Administrative,61.3,45,66,59.4,78.3,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Medicaid rates include FFS and PCCM populations. ,Yes
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6 to 17,FUH-CH,Higher rates are better for this measure,Percentage of Hospitalizations for Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 7 Days after Discharge: Ages 6 to 17,2020,CHIP only,Administrative,34.4,44,45.6,36.1,56.3,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",CHIP rates include separate CHIP population. Rates exclude children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rates.,No
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6 to 17,FUH-CH,Higher rates are better for this measure,Percentage of Hospitalizations for Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 30 Days after Discharge: Ages 6 to 17,2020,CHIP only,Administrative,56.8,45,66,59.4,78.3,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",CHIP rates include separate CHIP population. Rates exclude children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rates.,No
Alabama,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6 to 12,ADD-CH,Higher rates are better for this measure,Percentage Newly Prescribed ADHD Medication with 1 Follow-Up Visit During the 30-Day Initiation Phase: Ages 6 to 12,2020,Medicaid only,Administrative,52.4,45,46.6,40.6,52.8,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Medicaid rates include FFS and PCCM populations. ,Yes
Alabama,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6 to 12,ADD-CH,Higher rates are better for this measure,Percentage Newly Prescribed ADHD Medication with at Least 2 Follow-Up Visits in the 9 Months Following the Initiation Phase: Ages 6 to 12,2020,Medicaid only,Administrative,99.4,44,57.4,50.1,65.3,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Medicaid rates include FFS and PCCM populations. ,Yes
Alabama,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6 to 12,ADD-CH,Higher rates are better for this measure,Percentage Newly Prescribed ADHD Medication with 1 Follow-Up Visit During the 30-Day Initiation Phase: Ages 6 to 12,2020,CHIP only,Administrative,40.4,45,46.6,40.6,52.8,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",CHIP rates include separate CHIP population. Rates exclude children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rates. State applied optional exclusion of children with a diagnosis of narcolepsy. ,No
