"State","StateRate_mean_2019","StateRate_mean_2020"
"Alabama",42.4818181818182,48.31
"Alaska",20.55,21.15
"Arizona",16.6070444444444,17.8287555555556
"Arkansas",30.6335888888889,32.1656222222222
"California",12.4201625,14.4346125
"Colorado",15.9333333333333,10.5
"Connecticut",19.90977,19.49646
"Delaware",28.00659,20.185
"District of Columbia",21.11195,28.56355
"Florida",27.4,27.186225
"Georgia",30.3535,24.6844666666667
"Hawaii",20.553425,22.8029777777778
"Idaho",8.4,53.35
"Illinois",26.6333333333333,27.5
"Indiana",35.7,24.3471125
"Iowa",22.5673,33.15812
"Kansas",19.50858,19.2458625
"Kentucky",27.3,30.85
"Louisiana",22.01877,23.19705
"Maine",16.7666666666667,24.9
"Maryland",16.7689,22.5708222222222
"Massachusetts",19.87929,19.52086
"Michigan",24.7619555555556,24.2574666666667
"Minnesota",16.6918625,17.0346333333333
"Mississippi",17.7786777777778,28.5472125
"Missouri",35.8888888888889,45.8625
"Montana",9.1,8.9
"Nebraska",14.525,19.275
"Nevada",19.95,28.9125
"New Hampshire",28.4555555555556,21.80409
"New Jersey",18.2306166666667,22.49918
"New Mexico",18.4087666666667,24.72274
"New York",18.6937111111111,19.2545375
"North Carolina",20.9472,25.2662636363636
"North Dakota",9.1,21.77182
"Ohio",25.27934,30.767675
"Oklahoma",23.1221333333333,25.3646111111111
"Oregon",19.5857142857143,17.083325
"Pennsylvania",24.3465333333333,24.7886333333333
"Rhode Island",15.58686,20.15865
"South Carolina",23.8370888888889,24.9612555555556
"South Dakota",6.8,15.9666666666667
"Tennessee",21.553,23.8703363636364
"Texas",27.5480272727273,38.90325
"Utah",12.5651285714286,16.53976
"Vermont",17.27182,22.95027
"Virginia",33.375,29.15
"Washington",16.87203,17.99429
"West Virginia",24.9096846153846,20.9636916666667
"Wisconsin",21.8,15.3796666666667
"Wyoming",24.47,27.8777777777778
